T[s],fix,unixtime[s],ecef_x[m],ecef_y[m],ecef_z[m],ecef_vx[m/s],ecef_vy[m/s],ecef_vz[m/s],sat[n],hdop
25.001,1,1501399886,-3784037,2804447,4287894,-58,36,60,13,1.0
25.217,1,1501399886,-3784049,2804455,4287908,-58,37,61,13,1.0
25.401,1,1501399887,-3784062,2804463,4287919,-59,37,61,13,1.0
25.602,1,1501399887,-3784074,2804472,4287928,-60,38,62,13,1.0
25.801,1,1501399887,-3784086,2804479,4287942,-60,38,63,13,1.0
26.001,1,1501399887,-3784098,2804488,4287959,-61,39,64,13,1.0
26.216,1,1501399887,-3784109,2804496,4287966,-62,39,64,13,1.0
26.405,1,1501399888,-3784121,2804502,4287977,-62,40,65,13,1.0
26.601,1,1501399888,-3784136,2804510,4287995,-63,40,66,13,1.0
26.801,1,1501399888,-3784147,2804517,4288004,-64,41,66,13,1.0
27.001,1,1501399888,-3784160,2804524,4288021,-64,41,67,13,1.0
27.215,1,1501399888,-3784173,2804534,4288036,-65,41,68,13,1.0
27.405,1,1501399889,-3784186,2804542,4288057,-66,42,69,13,1.0
27.602,1,1501399889,-3784200,2804550,4288071,-66,42,69,13,1.0
27.800,1,1501399889,-3784212,2804560,4288083,-67,43,70,13,1.0
28.001,1,1501399889,-3784226,2804569,4288093,-68,43,71,13,1.0
28.216,1,1501399889,-3784241,2804578,4288107,-69,44,71,13,1.0
28.404,1,1501399890,-3784257,2804587,4288121,-69,44,72,13,1.0
28.602,1,1501399890,-3784270,2804597,4288133,-70,45,73,13,1.0
28.805,1,1501399890,-3784285,2804607,4288151,-71,45,73,13,1.0
29.001,1,1501399890,-3784299,2804616,4288163,-72,45,74,13,1.0
29.217,1,1501399890,-3784315,2804625,4288179,-72,46,75,12,1.1
29.406,1,1501399891,-3784330,2804635,4288195,-73,46,76,12,1.1
29.607,1,1501399891,-3784345,2804646,4288210,-74,47,76,12,1.1
29.801,1,1501399891,-3784361,2804656,4288224,-75,47,77,12,1.1
30.002,1,1501399891,-3784376,2804666,4288243,-75,48,78,12,1.1
30.214,1,1501399891,-3784390,2804673,4288263,-76,48,79,12,1.0
30.402,1,1501399892,-3784405,2804683,4288278,-77,49,80,12,1.0
30.602,1,1501399892,-3784421,2804693,4288293,-78,49,80,12,1.0
30.800,1,1501399892,-3784438,2804704,4288310,-78,50,81,12,1.0
31.001,1,1501399892,-3784454,2804714,4288326,-79,50,82,12,1.0
31.216,1,1501399892,-3784471,2804725,4288337,-80,51,83,13,1.0
31.404,1,1501399893,-3784487,2804735,4288354,-81,51,83,13,1.0
31.601,1,1501399893,-3784504,2804745,4288370,-82,52,84,13,1.0
31.801,1,1501399893,-3784521,2804756,4288388,-82,52,85,13,1.0
32.216,1,1501399893,-3784553,2804776,4288425,-84,53,87,13,1.0
32.405,1,1501399894,-3784569,2804786,4288445,-85,54,88,13,1.0
32.602,1,1501399894,-3784586,2804796,4288464,-86,54,88,13,1.0
33.217,1,1501399894,-3784637,2804829,4288514,-88,56,91,13,1.0
33.403,1,1501399895,-3784654,2804841,4288533,-88,56,92,13,1.0
33.602,1,1501399895,-3784672,2804853,4288550,-89,56,93,13,1.0
33.802,1,1501399895,-3784689,2804865,4288570,-90,57,94,13,1.0
34.405,1,1501399896,-3784747,2804900,4288626,-92,59,97,13,1.0
38.217,1,1501399899,-3785132,2805145,4289033,-108,69,114,13,1.0
38.401,1,1501399900,-3785154,2805159,4289055,-109,69,115,13,1.0
39.001,1,1501399900,-3785218,2805200,4289128,-112,71,118,13,1.0
41.002,1,1501399902,-3785452,2805351,4289375,-120,77,127,13,1.0
41.219,1,1501399902,-3785478,2805366,4289401,-121,78,128,13,1.0
41.601,1,1501399903,-3785528,2805398,4289454,-123,79,130,13,1.0
