# T[s],wx[dps],wy[dps],wz[dps]
27.835,0.503,-0.081,47.219
27.936,0.542,0.213,46.922
28.036,0.524,0.259,46.734
28.137,0.501,0.194,46.484
28.237,0.618,0.418,46.219
28.335,0.465,0.342,45.984
28.441,0.545,0.567,45.641
28.535,0.560,0.461,45.422
28.637,0.510,0.563,45.250
28.736,0.481,0.630,45.078
28.835,0.488,0.540,44.859
28.935,0.446,0.765,44.797
29.035,0.368,0.697,44.641
29.135,0.346,0.625,44.578
29.236,0.374,0.798,44.484
29.336,0.296,0.584,44.406
29.435,0.199,0.774,44.219
29.535,0.249,0.699,44.141
29.636,0.180,0.741,44.000
29.736,-0.041,0.536,43.875
29.836,0.120,0.747,43.719
29.936,-0.075,0.623,43.656
30.036,-0.108,0.808,43.625
30.137,-0.164,0.541,43.641
30.236,-0.272,0.729,43.703
30.336,-0.252,0.689,43.672
30.439,-0.323,0.616,43.734
30.536,-0.306,0.598,43.859
30.637,-0.366,0.514,43.734
30.735,-0.395,0.658,43.125
30.835,-0.542,0.496,43.375
30.936,-0.671,0.412,43.453
31.035,-0.571,0.390,43.672
31.134,-0.754,0.271,44.109
31.235,-0.616,0.406,44.359
31.335,-0.747,0.110,44.750
31.435,-0.771,0.229,45.078
31.535,-0.704,0.100,45.406
31.635,-0.646,0.331,45.719
31.736,-0.821,-0.073,46.000
31.837,-0.657,0.167,46.344
31.936,-0.841,0.065,46.781
32.237,-0.792,-0.187,47.922
32.336,-0.633,-0.267,48.484
32.436,-0.671,-0.285,48.953
32.536,-0.636,-0.446,49.328
32.635,-0.591,-0.310,49.828
32.735,-0.603,-0.432,50.328
32.836,-0.537,-0.401,50.703
33.136,-0.465,-0.711,52.688
33.236,-0.317,-0.620,53.406
33.336,-0.083,-0.574,54.328
33.436,-0.170,-0.657,55.234
33.535,0.014,-0.617,56.281
33.636,-0.079,-0.767,57.500
33.735,0.058,-0.594,58.672
33.837,0.174,-0.616,59.875
33.935,0.163,-0.683,60.844
34.336,0.146,-0.749,63.844
34.435,0.203,-0.653,64.375
37.636,0.462,0.698,61.047
38.135,0.438,0.578,63.969
38.235,0.438,0.751,64.594
38.336,0.467,0.613,65.156
38.435,0.398,0.501,65.812
38.838,0.187,0.423,67.812
38.936,0.230,0.463,68.219
39.039,0.072,0.386,68.531
39.136,0.101,0.500,68.812
40.936,-0.540,0.764,78.719
41.034,-0.553,0.771,78.719
41.137,-0.658,0.810,78.719
41.236,-0.528,0.746,78.594
41.337,-0.590,0.947,78.531
46.237,0.079,-1.368,94.062
