# T[s],gimbal_a_enable,gimbal_a_target[enc],gimbal_b_enable,gimbal_b_target[enc],gasjet
-30.284,0,0,0,0,0
-30.273,0,0,0,0,0
-30.263,0,0,0,0,0
-30.254,0,0,0,0,0
-30.243,0,0,0,0,0
-30.234,0,0,0,0,0
-30.223,0,0,0,0,0
-30.214,0,0,0,0,0
-30.203,0,0,0,0,0
-30.194,0,0,0,0,0
-30.184,0,0,0,0,0
-30.173,0,0,0,0,0
-30.163,0,0,0,0,0
-30.154,0,0,0,0,0
-30.143,0,0,0,0,0
-30.134,0,0,0,0,0
-30.123,0,0,0,0,0
-30.112,0,0,0,0,0
-30.103,0,0,0,0,0
-30.094,0,0,0,0,0
-30.084,0,0,0,0,0
-30.073,0,0,0,0,0
-30.063,0,0,0,0,0
-30.053,0,0,0,0,0
-30.043,0,0,0,0,0
-30.032,0,0,0,0,0
-30.023,0,0,0,0,0
-30.014,0,0,0,0,0
-30.004,0,0,0,0,0
-29.993,0,0,0,0,0
-29.984,0,0,0,0,0
-29.973,0,0,0,0,0
-29.962,0,0,0,0,0
-29.954,0,0,0,0,0
-29.942,0,0,0,0,0
-29.934,0,0,0,0,0
-29.924,0,0,0,0,0
-29.914,0,0,0,0,0
-29.900,0,0,0,0,0
-29.888,0,0,0,0,0
-29.881,0,0,0,0,0
-29.873,0,0,0,0,0
-29.864,0,0,0,0,0
-29.854,0,0,0,0,0
-29.844,0,0,0,0,0
-29.834,0,0,0,0,0
-29.823,0,0,0,0,0
-29.813,0,0,0,0,0
-29.803,0,0,0,0,0
-29.794,0,0,0,0,0
-29.783,0,0,0,0,0
-29.773,0,0,0,0,0
-29.764,0,0,0,0,0
-29.754,0,0,0,0,0
-29.743,0,0,0,0,0
-29.730,0,0,0,0,0
-29.717,0,0,0,0,0
-29.711,0,0,0,0,0
-29.703,0,0,0,0,0
-29.693,0,0,0,0,0
-29.684,0,0,0,0,0
-29.674,0,0,0,0,0
-29.664,0,0,0,0,0
-29.654,0,0,0,0,0
-29.644,0,0,0,0,0
-29.633,0,0,0,0,0
-29.623,0,0,0,0,0
-29.613,0,0,0,0,0
-29.602,0,0,0,0,0
-29.592,0,0,0,0,0
-29.582,0,0,0,0,0
-29.574,0,0,0,0,0
-29.564,0,0,0,0,0
-29.553,0,0,0,0,0
-29.543,0,0,0,0,0
-29.533,0,0,0,0,0
-29.520,0,0,0,0,0
-29.507,0,0,0,0,0
-29.500,0,0,0,0,0
-29.493,0,0,0,0,0
-29.484,0,0,0,0,0
