# T[s],ax[g],ay[g],az[g]
24.636,0.035,0.124,0.320
24.737,0.055,0.122,0.323
24.836,0.024,0.225,0.314
24.936,0.093,0.169,0.467
25.037,0.037,0.196,0.440
25.135,0.139,0.194,0.503
25.236,0.037,0.173,0.287
25.336,0.066,0.176,0.363
25.436,0.085,0.160,0.338
25.536,0.055,0.097,0.181
25.636,0.121,0.169,0.468
25.737,0.043,0.152,0.302
25.837,0.068,0.104,0.194
25.936,0.074,0.158,0.364
26.036,0.174,0.201,0.318
26.136,0.147,0.221,0.377
26.237,0.107,0.135,0.441
26.337,0.109,0.151,0.302
26.437,0.082,0.155,0.411
26.536,0.166,0.144,0.241
26.637,0.057,0.120,0.336
26.736,0.078,0.112,0.246
26.837,-0.033,0.044,0.266
26.937,0.130,0.124,0.419
27.037,0.050,0.176,0.466
27.137,0.027,0.112,0.303
27.237,0.057,0.084,0.359
27.336,0.066,0.110,0.398
27.437,0.120,0.117,0.316
27.536,0.056,0.093,0.490
27.637,0.033,0.046,0.219
27.737,-0.002,0.174,0.289
27.838,0.031,0.071,0.279
27.936,0.056,0.153,0.425
28.037,0.070,0.129,0.344
28.137,-0.019,0.082,0.378
28.237,0.075,0.115,0.251
28.337,0.002,0.065,0.236
28.441,0.043,0.118,0.394
28.538,0.031,0.121,0.325
28.637,0.022,0.081,0.239
28.736,0.075,0.183,0.430
28.835,-0.014,0.096,0.479
28.937,0.086,0.099,0.381
29.037,0.068,0.095,0.330
29.136,0.021,0.073,0.271
29.236,0.095,0.116,0.260
29.337,0.077,0.079,0.282
29.437,0.011,0.121,0.318
29.537,0.049,0.106,0.304
29.637,0.078,0.067,0.333
29.736,0.040,0.069,0.430
29.836,0.034,0.118,0.250
29.937,0.084,0.095,0.262
30.036,0.038,0.114,0.157
30.137,0.109,0.129,0.337
30.236,0.043,0.085,0.217
30.336,0.092,0.094,0.363
30.439,0.021,0.137,0.375
30.538,0.079,0.126,0.325
30.637,0.049,0.089,0.180
30.737,0.044,0.058,0.392
30.837,-0.013,0.150,0.243
30.936,0.092,0.079,0.265
31.036,0.086,0.148,0.293
31.136,0.108,0.083,0.419
31.237,0.012,0.149,0.380
31.337,0.050,0.113,0.166
31.437,0.072,0.097,0.375
31.536,0.030,0.136,0.427
31.636,0.095,0.115,0.182
31.736,0.055,0.098,0.219
31.837,0.062,0.119,0.379
31.936,0.090,0.124,0.229
32.237,0.046,0.117,0.334
32.336,0.073,0.104,0.402
32.437,-0.013,0.084,0.127
32.537,0.080,0.141,0.365
32.635,0.016,0.147,0.290
32.836,0.068,0.134,0.158
33.136,0.074,0.200,0.301
33.237,0.105,0.240,0.349
33.436,-0.010,0.210,0.425
33.536,0.113,0.194,0.283
33.636,0.075,0.149,0.324
33.736,0.102,0.173,0.269
33.837,0.092,0.122,0.422
33.937,0.111,0.129,0.390
34.136,0.088,0.140,0.299
34.237,0.079,0.036,0.323
34.336,0.063,0.140,0.349
34.437,0.129,0.167,0.375
37.637,0.035,0.184,0.384
38.137,0.082,0.152,0.493
38.237,0.084,0.153,0.516
38.338,0.040,0.063,0.269
38.436,0.109,0.116,0.295
38.537,0.004,0.114,0.261
38.839,0.034,0.132,0.346
38.937,0.063,0.137,0.424
39.039,-0.010,0.075,0.420
39.136,0.109,0.101,0.360
40.836,0.122,0.104,0.368
40.937,0.020,0.091,0.449
41.037,0.110,0.053,0.340
41.137,0.063,0.067,0.239
41.237,0.081,0.067,0.560
41.337,0.075,0.011,0.198
41.637,0.121,0.084,0.352
43.738,0.093,0.148,0.318
